filename,character,content
[cd01-0056][02.47.35-02.49.05].ogg,Tiat,どうしたんだ、コロン君？
[cd01-0057][02.49.12-02.52.32].ogg,Collon,テレビ局前に男が倒れていると通報が！
[cd01-0058][02.52.35-02.54.49].ogg,Tiat,何？出動だ、コロン君！
[cd01-0059][02.59.72-03.02.13].ogg,Tiat,鑑識官のパニバル君、説明を
[cd01-0060][03.02.91-03.04.75].ogg,Pannibal,ガイシャはヴィレム・クメシュ
[cd01-0061][03.05.28-03.09.41].ogg,Pannibal,死因は右腕を噛み千切られたことによるショック性出血死です
[cd01-0062][03.10.51-03.12.44].ogg,Tiat,噛み千切る……だと！？
[cd01-0063][03.13.05-03.16.97].ogg,Pannibal,第一発見者はトロールのナイグラートさんです
[cd01-0064][03.17.27-03.18.86].ogg,Nygglatho,ナイグラートです
[cd01-0065][03.19.47-03.21.47].ogg,Tiat,で、発見時の状況は？
[cd01-0066][03.22.26-03.25.63].ogg,Nygglatho,深夜、スタジオを出たら人が倒れていたんです
[cd01-0067][03.26.07-03.31.85].ogg,Nygglatho,あまりの美味しい……じゃなくでショックで、私、びっくりしちゃった
[cd01-0068][03.32.48-03.35.94].ogg,Tiat,深夜、人がいない時間を狙っての犯行か
[cd01-0069][03.37.14-03.40.41].ogg,Tiat,おや、ホトケさんの指先のこれは？
[cd01-0070][03.41.17-03.45.37].ogg,Collon,こりゃティアット刑事、文字、ですかね
[cd01-0071][03.46.16-03.49.37].ogg,Collon,うーん、読めないな
[cd01-0072][03.49.91-03.53.57].ogg,Nygglatho,コロンさん、これ「占う」という漢字じゃないかしら？
[cd01-0073][03.53.65-03.56.08].ogg,Collon,「占う」？さっぱり分からん
[cd01-0074][03.57.47-03.58.38].ogg,Pannibal,ティアット刑事
[cd01-0075][03.58.96-04.01.65].ogg,Pannibal,これは血で書かれたダイイング・メッセージでは！？
[cd01-0076][04.02.09-04.07.47].ogg,Tiat,そうかパニバル君、これは事故じゃない、殺人事件だ！
[cd01-0077][04.14.79-04.18.37].ogg,,六年八班、ヴィレム先生！
[cd01-0078][04.18.91-04.20.00].ogg,Ithea,自習編
[cd01-0079][04.22.92-04.26.34].ogg,Chtholly,ヴィレム先生、アルミタ怪しに出掛けて行っちゃったじゃない？
[cd01-0080][04.26.82-04.28.17].ogg,Nephren,自習とはラッキー
[cd01-0081][04.28.44-04.32.82].ogg,Chtholly,レンはそうかも知れないけど、私は先生がいないとつまんない
[cd01-0082][04.33.19-04.35.69].ogg,Ithea,ところでクトリって何月生まれっすか？
[cd01-0083][04.35.90-04.37.48].ogg,Chtholly,突然何よアイセア
[cd01-0084][04.38.10-04.39.14].ogg,Chtholly,一月だけど
[cd01-0085][04.39.37-04.43.67].ogg,Ithea,一月生まれ、巻き草座のあなたの今日の運勢
[cd01-0086][04.43.99-04.45.06].ogg,Ithea,チャッラチャッロー！
[cd01-0087][04.45.42-04.46.88].ogg,Chtholly,え、巻き何？
[cd01-0088][04.47.21-04.49.59].ogg,Ithea,新しい関係性が生まれる予感
[cd01-0089][04.49.92-04.54.67].ogg,Ithea,気になる人がいるなら耳元で囁いて大胆にアプローチしてみよう
[cd01-0090][04.54.67-04.57.18].ogg,Chtholly,み、耳元！？無理よそんなの！
[cd01-0091][04.57.40-05.00.08].ogg,Ithea,ラッキーアイテムは汗だくの竹輪部
[cd01-0092][05.00.50-05.03.28].ogg,Ithea,身につけると彼と大接近できるかも！
[cd01-0093][05.03.29-05.05.02].ogg,Chtholly,どうやって身につけるのよ！
[cd01-0094][05.05.10-05.07.96].ogg,Ithea,えー、この占いアプリ当たるんっすよ
[cd01-0095][05.08.45-05.10.22].ogg,Ithea,いいんっすか？チャンス逃しても
[cd01-0096][05.10.58-05.11.81].ogg,Chtholly,ぐぬぬぬ……
[cd01-0097][05.12.24-05.15.57].ogg,Nephren,恋愛はチャンスではない。それは意志
[cd01-0098][05.15.85-05.18.49].ogg,Ithea,おおー、いいこと言うっすね、レン！
[cd01-0099][05.18.75-05.20.59].ogg,Nephren,国語の教科書に書いてあった
[cd01-0100][05.21.12-05.23.57].ogg,Nephren,全てクトリ、あなたが決めること
[cd01-0101][05.24.04-05.25.46].ogg,Chtholly,う、うん
[cd01-0102][05.25.46-05.28.14].ogg,Chtholly,でも、竹輪部って……
[cd01-0103][05.28.56-05.31.79].ogg,Ithea,しかし帰ってこないですね、ヴィレム先生
[cd01-0104][05.38.32-05.40.05].ogg,Pannibal,レディース総長物語
[cd01-0105][05.41.54-05.44.43].ogg,Willem,うわあ……やばそうなの来た
[cd01-0106][05.45.09-05.46.44].ogg,Tiat,あー？
[cd01-0107][05.46.91-05.50.18].ogg,Tiat,おい、こんなところに人間がいるぞ
[cd01-0108][05.50.45-05.51.95].ogg,Willem,はっ！？ティアット！？
[cd01-0109][05.52.44-05.58.01].ogg,Lakhesh,泣く子も黙るレディース軍団「プティング」の縄張りに入るた
[cd01-0110][05.58.01-06.00.74].ogg,Lakhesh,いい度胸じゃねえか、人間
[cd01-0111][06.01.00-06.02.75].ogg,Willem,いや、チーム名可愛いな、おい！
[cd01-0112][06.02.98-06.05.65].ogg,Collon,ラキシュさんにデケえ口叩いてんじゃねえ！
[cd01-0113][06.05.89-06.07.89].ogg,Collon,ワダダダダダダダダダダダダダン！
[cd01-0114][06.08.16-06.09.09].ogg,Willem,あ、虫！
[cd01-0115][06.09.87-06.11.08].ogg,Pannibal,全員集合！
[cd01-0116][06.11.51-06.13.71].ogg,,うす、パニバル姉さん！
[cd01-0117][06.15.05-06.16.58].ogg,Pannibal,総長のおなりだ
[cd01-0118][06.17.37-06.18.36].ogg,Willem,うわは、あ
[cd01-0119][06.18.76-06.19.53].ogg,Willem,総？
[cd01-0120][06.19.93-06.20.50].ogg,Willem,長？
[cd01-0121][06.23.70-06.25.03].ogg,Nephren,おい、おめえら！
[cd01-0122][06.25.61-06.26.07].ogg,,はい！
[cd01-0123][06.26.86-06.28.12].ogg,Willem,この声は
[cd01-0124][06.28.72-06.30.65].ogg,Nephren,あたいの名前を言ってみな
[cd01-0125][06.31.24-06.32.14].ogg,Willem,まさか……
[cd01-0126][06.32.64-06.33.02].ogg,Tiat,はい！
[cd01-0127][06.33.77-06.36.32].ogg,Tiat,刻んな肉塊は数知れず
[cd01-0128][06.36.94-06.39.36].ogg,Lakhesh,神をも恐れぬその豪腕
[cd01-0129][06.39.86-06.42.51].ogg,Collon,歩いた後には屍の山！
[cd01-0130][06.43.27-06.45.96].ogg,Pannibal,天空を駆ける凍える豹！
[cd01-0131][06.46.78-06.48.21].ogg,,我らが総長
[cd01-0132][06.48.63-06.50.40].ogg,,ネフレン様っす！
[cd01-0133][06.50.76-06.55.83].ogg,Nephren,そう、このプティングの総長、ネフレンた、あたいのことよ
[cd01-0134][06.56.28-06.58.17].ogg,Willem,れ、レン！？
[cd01-0135][07.02.83-07.06.14].ogg,Nygglatho,ナイグラートのとろとろクッキング！
[cd01-0136][07.07.00-07.11.55].ogg,Nygglatho,新鮮な成人男性のお肉が手に入りましたよ、ラキシュさん
[cd01-0137][07.11.97-07.17.06].ogg,Lakhesh,うわー、血が滴ってる！新鮮すぎ！
[cd01-0138][07.17.84-07.20.70].ogg,Nygglatho,まずは、大きなノコギリを用意……
[cd01-0139][07.22.04-07.23.10].ogg,Nygglatho,え、ダメ？
[cd01-0140][07.23.90-07.24.85].ogg,Nygglatho,放送事故？
[cd01-0141][07.25.55-07.27.43].ogg,Nygglatho,ちょっと、スタッフ！
[cd01-0142][07.28.15-07.31.11].ogg,Nygglatho,そこは怯まないでプロ根性を見せなさいよ！
[cd01-0143][07.31.95-07.33.29].ogg,Nygglatho,倫理的に無理？
[cd01-0144][07.34.16-07.38.29].ogg,Nygglatho,いいわよ、じゃあ私が直接プロデューサーと話しつけてくるから
[cd01-0145][07.38.97-07.39.24].ogg,Nygglatho,ハッ！
[cd01-0146][07.40.17-07.48.23].ogg,Lakhesh,またですか！？私が勝手に進行しちゃいますよ、ナイグラートさーん！
[cd01-0147][07.56.08-07.57.49].ogg,,Sixty-eight
[cd01-0148][08.00.15-08.00.81].ogg,Ithea,ういうい！
[cd01-0149][08.01.01-08.05.27].ogg,Ithea,あなたのアイセア・マイゼ・バルガリスの68ラジオの時間っっす！
[cd01-0150][08.05.60-08.07.60].ogg,Ithea,早速お電話っすよ
[cd01-0151][08.08.16-08.08.98].ogg,Lakhesh,こんにちは
[cd01-0152][08.09.79-08.12.02].ogg,Lakhesh,ラジオネーム「悩める妖精」です
[cd01-0153][08.12.91-08.16.61].ogg,Lakhesh,あの、最近なんだか友達の個性に埋もれて
[cd01-0154][08.16.83-08.18.92].ogg,Lakhesh,影が薄いような気がしてて……
[cd01-0155][08.19.56-08.20.78].ogg,Ithea,んん
[cd01-0156][08.21.05-08.23.71].ogg,Ithea,集団生活では優しい子ほど遠慮しちゃって
[cd01-0157][08.24.01-08.26.01].ogg,Ithea,前に出られないんっすよね
[cd01-0158][08.26.10-08.28.64].ogg,Ithea,でも、それも大事な個性っすから
[cd01-0159][08.28.92-08.30.74].ogg,Ithea,気にする必要はないっす！
[cd01-0160][08.31.12-08.34.43].ogg,Ithea,あと、悩める妖精ちゃんが主役になれる瞬間は
[cd01-0161][08.34.65-08.37.08].ogg,Ithea,次シリーズにもちゃんと用意されてるから
[cd01-0162][08.37.28-08.38.49].ogg,Ithea,万事オッケーっすよ！
[cd01-0163][08.38.97-08.41.10].ogg,Lakhesh,え、それ何の予言！？
[cd01-0164][08.44.15-08.45.82].ogg,,ゴーゴー！ティアット刑事！
[cd01-0165][08.46.44-08.47.18].ogg,Tiat,推理編
[cd01-0166][08.49.59-08.53.44].ogg,Tiat,「占う」とは……一体どういう意味だろう、コロン君？
[cd01-0167][08.53.89-08.55.73].ogg,Collon,分かりました、ティアット刑事！
[cd01-0168][08.56.12-08.58.29].ogg,Collon,犯人は、占い師ですよ！
[cd01-0169][08.58.72-09.02.49].ogg,Collon,催眠術で猛獣を操ってホトケさんを狙ったんです
[cd01-0170][09.03.21-09.06.64].ogg,Tiat,ハァ……また君は適当なことを言って
[cd01-0171][09.07.24-09.10.55].ogg,Pannibal,ティアット刑事、目撃者が見つかりました
[cd01-0172][09.10.82-09.12.40].ogg,Tiat,何だって、パニバル君？
[cd01-0173][09.12.85-09.15.60].ogg,Pannibal,目撃者のネフレンさんです
[cd01-0174][09.16.82-09.21.17].ogg,Nephren,私は見た。犯人の大きな体と桃色の髪を
[cd01-0175][09.21.81-09.26.52].ogg,Nephren,そして聞いた、血に塗れた口から漏れる妖艶な笑い声を
[cd01-0176][09.27.00-09.27.69].ogg,Nygglatho,うふふん
[cd01-0177][09.28.45-09.29.79].ogg,Nygglatho,おっかないわね
[cd01-0178][09.30.58-09.34.77].ogg,Collon,しかし、手がかりがこれだけじゃ手詰まりですよ、ティアット刑事
[cd01-0179][09.35.92-09.39.22].ogg,Tiat,そうか。謎はすべて解けた！
[cd01-0180][09.39.40-09.40.29].ogg,,えええーっ！？
[cd01-0181][09.47.18-09.50.48].ogg,,六年八班、ヴィレム先生！
[cd01-0182][09.51.07-09.52.32].ogg,Nephren,女子更衣室編
[cd01-0183][09.55.33-09.57.00].ogg,Ithea,次は体育っすね
[cd01-0184][09.57.63-10.00.16].ogg,Ithea,うわっ！クトリ、なんすかそれ
[cd01-0185][10.01.79-10.05.45].ogg,Chtholly,ポッケに仕込んだ竹輪部がべちょべちょになっちゃったの
[cd01-0186][10.05.62-10.08.44].ogg,Ithea,本当にやったんっすか、気持ち悪
[cd01-0187][10.08.74-10.11.27].ogg,Chtholly,結局先生は戻ってこなかったし
[cd01-0188][10.11.92-10.13.92].ogg,Chtholly,効き目ないな、竹輪部
[cd01-0189][10.14.16-10.16.25].ogg,Ithea,まあそのうちいいことあるっすよ
[cd01-0190][10.16.56-10.17.18].ogg,Chtholly,もう！
[cd01-0191][10.17.89-10.19.71].ogg,Chtholly,ねえ、日焼け止め塗ってくれる？
[cd01-0192][10.20.01-10.21.05].ogg,Ithea,ほいほいと
[cd01-0193][10.21.59-10.24.54].ogg,Ithea,このキャップ、開かない……
[cd01-0194][10.25.74-10.26.87].ogg,Ithea,うわあ、出た！
[cd01-0195][10.26.99-10.27.48].ogg,Chtholly,うわあ
[cd01-0196][10.27.96-10.31.29].ogg,Chtholly,やだ！こんなに飛んで、胸がべちょべちょ！
[cd01-0197][10.31.42-10.33.82].ogg,Ithea,いいんっすよ、どうせ使うんっすから
[cd01-0198][10.35.81-10.36.56].ogg,Chtholly,んね
[cd01-0199][10.36.70-10.40.06].ogg,Chtholly,ちょアイセア、胸にはそんなに塗らなくてもいい！
[cd01-0200][10.40.32-10.43.82].ogg,Ithea,体操着の隙間から胸元にも結構日差しが入るもんっすよ
[cd01-0201][10.44.12-10.46.26].ogg,Chtholly,うん、やだもう……
[cd01-0202][10.46.48-10.49.45].ogg,Ithea,はい、完了。次はあたいの番っす
[cd01-0203][10.49.89-10.50.67].ogg,Chtholly,もう……
[cd01-0204][10.52.08-10.54.69].ogg,Ithea,腕と背中を重点的に頼むっす
[cd01-0205][10.55.20-11.00.36].ogg,Ithea,うん、はあ、う、ほ、は、へあ！
[cd01-0206][11.00.95-11.02.28].ogg,Chtholly,ん？何今の？
[cd01-0207][11.02.64-11.06.02].ogg,Ithea,二の腕の裏側が……なも弱くで……
[cd01-0208][11.06.08-11.08.18].ogg,Chtholly,ふーん。じゃあここ？
[cd01-0209][11.08.29-11.10.20].ogg,Ithea,うわああ！マジ勘弁っす！
[cd01-0210][11.10.20-11.12.20].ogg,Chtholly,良いではないか、良いではないか！
[cd01-0211][11.12.20-11.14.77].ogg,Ithea,あっ！コラ、やめなさいって！
[cd01-0212][11.15.78-11.16.22].ogg,,……うわ？
[cd01-0213][11.17.24-11.18.87].ogg,Nephren,乳はただの肉塊
[cd01-0214][11.19.11-11.19.50].ogg,,うわ？ん？
[cd01-0215][11.20.27-11.21.94].ogg,Nephren,つまり、無用の長物
[cd01-0216][11.22.47-11.23.76].ogg,Ithea,おほ、ははは
[cd01-0217][11.25.07-11.26.16].ogg,Nephren,体育始まるから
[cd01-0218][11.28.62-11.29.50].ogg,,……肉塊？
[cd01-0219][11.33.94-11.36.29].ogg,Nephren,続・レディース総長物語
[cd01-0220][11.38.27-11.39.25].ogg,Pannibal,ネフレン総長
[cd01-0221][11.40.35-11.41.92].ogg,Pannibal,ごしょごしょごしょごしょ
[cd01-0222][11.43.10-11.44.85].ogg,Nephren,あん？人間
[cd01-0223][11.45.57-11.48.35].ogg,Collon,ほら、総長にツラをお見せしろ！
[cd01-0224][11.48.58-11.50.04].ogg,Willem,だあ！離せコロン！
[cd01-0225][11.50.48-11.52.67].ogg,Willem,レン、俺だ、ヴィレムだ！
[cd01-0226][11.53.38-11.54.19].ogg,Nephren,ヴィレムだと？
[cd01-0227][11.54.70-11.58.35].ogg,Willem,なあ、お前みたいな小さな子がこんなことやっちゃダメだ
[cd01-0228][11.58.97-12.02.02].ogg,Willem,こういうのはもっと大人なお姉様たちに任せてだな
[cd01-0229][12.02.36-12.03.72].ogg,Collon,邪かましわ、ボケ！
[cd01-0230][12.03.72-12.05.08].ogg,Willem,ああーびゃシュ！
[cd01-0231][12.05.79-12.10.21].ogg,Nephren,てめえも結局、忌まわしき肉塊を好む淫獣ってわけか
[cd01-0232][12.10.68-12.12.75].ogg,Willem,何？何の話？
[cd01-0233][12.13.52-12.15.40].ogg,Pannibal,どうしやす、総長？
[cd01-0234][12.16.23-12.16.63].ogg,Nephren,下
[cd01-0235][12.17.35-12.18.65].ogg,,らっしゃーした！
[cd01-0236][12.19.56-12.27.35].ogg,Willem,あ下！？下って……おい、どこに連れていく気だ！おい！ま、まさか……
[cd01-0237][12.28.04-12.30.58].ogg,Willem,ああああああああ！
[cd01-0238][12.32.42-12.36.92].ogg,Nephren,あたいは止まらない。全ての肉塊を滅ぼす、その時まで
[cd01-0239][12.39.76-12.41.58].ogg,,ゴーゴー！ティアット刑事！
[cd01-0240][12.42.24-12.43.09].ogg,Tiat,解決編
[cd01-0241][12.45.47-12.47.85].ogg,Tiat,犯人はお前だ、ナイグラート！
[cd01-0242][12.48.17-12.50.14].ogg,Collon,第一発見者が犯人？
[cd01-0243][12.50.49-12.51.19].ogg,Pannibal,ベタだな
[cd01-0244][12.51.76-12.55.26].ogg,Nygglatho,え、あら、何の証拠があって？
[cd01-0245][12.55.49-12.59.75].ogg,Tiat,大きな体。桃色の髪。妖艶な声
[cd01-0246][13.00.46-13.02.64].ogg,Tiat,すべてあなたの特徴に合致している！
[cd01-0247][13.03.20-13.04.44].ogg,Nygglatho,いいがかりよ
[cd01-0248][13.04.79-13.07.44].ogg,Nygglatho,なら「占う」というあのダイイング・メッセージは
[cd01-0249][13.07.44-13.08.67].ogg,Nygglatho,どう説明するつもり？
[cd01-0250][13.09.25-13.11.29].ogg,Tiat,これは「占う」の文字ではない
[cd01-0251][13.11.72-13.12.16].ogg,Nygglatho,何！？
[cd01-0252][13.12.84-13.14.99].ogg,Tiat,カタカナの「ト」と「ロ」だ！
[cd01-0253][13.16.01-13.18.89].ogg,Collon,ト……ロ……まさか……
[cd01-0254][13.19.29-13.20.49].ogg,,「トロール」！
[cd01-0255][13.21.65-13.27.26].ogg,Tiat,ホトケさんは最後の力を振り絞って、犯人の正体を残そうとした
[cd01-0256][13.28.04-13.31.68].ogg,Tiat,種族という、絶対的な特徴な！
[cd01-0257][13.32.05-13.32.81].ogg,Nygglatho,かく
[cd01-0258][13.33.88-13.37.55].ogg,Nygglatho,ただ、美味しいお肉が食べたかっただけなのに……
[cd01-0259][13.38.65-13.41.89].ogg,Tiat,ナイグラート、殺人容疑で逮捕する！
[cd01-0260][13.45.84-13.48.51].ogg,Lakhesh,ナイグラートさん戻ってこないな
[cd01-0261][13.49.31-13.51.55].ogg,Lakhesh,このままじゃ放送終わっちゃうよ
[cd01-0262][13.54.14-13.54.39].ogg,Lakhesh,お？
[cd01-0263][13.55.10-13.58.02].ogg,,番組の途中ですが、臨時ニュースをお知らせします
[cd01-0264][13.59.08-14.01.93].ogg,,世間を騒がせていた猟奇殺人犯が逮捕されました
[cd01-0265][14.02.70-14.03.79].ogg,,犯人ナイグラートは
[cd01-0266][14.04.20-14.07.31].ogg,,生放送の料理番組で使用する食材確保のため
[cd01-0267][14.07.68-14.09.04].ogg,,犯行に及んだと思われます
[cd01-0268][14.10.11-14.11.27].ogg,,本当に怖いですね
[cd01-0269][14.12.62-14.15.07].ogg,Lakhesh,えっ！？番組打ち切り！？
[cd01-0270][14.15.44-14.16.85].ogg,Lakhesh,それとも降板？
[cd01-0271][14.18.30-14.19.08].ogg,Lakhesh,降板ね！
[cd01-0272][14.19.91-14.23.53].ogg,Lakhesh,やったわ、私が主役！
[cd01-0273][14.24.56-14.25.61].ogg,Lakhesh,それじゃあ皆さん
[cd01-0274][14.26.21-14.28.41].ogg,Lakhesh,来週からは新番組
[cd01-0275][14.28.96-14.30.94].ogg,Lakhesh,ラキシュのふわふわクッキングを！
[cd01-0276][14.31.46-14.32.44].ogg,Lakhesh,お楽しみに！
[cd01-0277][14.36.69-14.39.97].ogg,,六年八班、ヴィレム先生！
[cd01-0278][14.40.51-14.41.17].ogg,Chtholly,放課後編
[cd01-0279][14.44.18-14.46.14].ogg,Willem,ああ……疲れた
[cd01-0280][14.47.21-14.50.99].ogg,Willem,結局一日、アルミタのお守りで終わってしまった
[cd01-0281][14.52.02-14.53.21].ogg,Chtholly,ヴィレム先生
[cd01-0282][14.53.59-14.55.42].ogg,Willem,うおっ！クトリ！？
[cd01-0283][14.55.69-14.58.20].ogg,Chtholly,やだ先生、びっくりしすぎじゃない？
[cd01-0284][14.58.96-15.01.07].ogg,Willem,耳元で囁くのはやめてくれ
[cd01-0285][15.01.22-15.04.66].ogg,Chtholly,ええー、そう言われるともっとやりたくなっちゃう
[cd01-0286][15.04.81-15.06.33].ogg,Willem,頼むからやめてくれ
[cd01-0287][15.07.14-15.08.49].ogg,Willem,もう下校時刻だろ
[cd01-0288][15.09.05-15.09.90].ogg,Willem,さっさと帰れ
[cd01-0289][15.10.12-15.11.03].ogg,Chtholly,分かってる
[cd01-0290][15.11.78-15.14.59].ogg,Chtholly,でも今日は先生ずっといなかったからさ
[cd01-0291][15.15.62-15.18.47].ogg,Chtholly,帰る前にどうしても、顔が見たかったの
[cd01-0292][15.18.91-15.19.09].ogg,Willem,お……
[cd01-0293][15.19.86-15.20.06].ogg,Chtholly,は？
[cd01-0294][15.20.52-15.21.25].ogg,Chtholly,照れてる？
[cd01-0295][15.21.86-15.22.36].ogg,Willem,は
[cd01-0296][15.23.54-15.24.26].ogg,Willem,照れてなんかいない
[cd01-0297][15.24.71-15.25.98].ogg,Chtholly,えへ
[cd01-0298][15.26.51-15.28.07].ogg,Chtholly,竹輪部の効果、あったかな？
[cd01-0299][15.28.66-15.28.82].ogg,Willem,は？
[cd01-0300][15.29.22-15.31.17].ogg,Chtholly,ううん！何でもなーい
[cd01-0301][15.32.27-15.33.98].ogg,Chtholly,じゃあね、先生
[cd01-0302][15.34.33-15.35.18].ogg,Willem,ええへいてっいてっ！
[cd01-0303][15.35.66-15.37.98].ogg,Willem,耳はやめろと言っただろ！
[cd01-0304][15.38.16-15.39.55].ogg,Chtholly,やめないもー！
[cd01-0305][15.39.83-15.43.67].ogg,Chtholly,えへへ
[cd01-0306][15.44.01-15.44.82].ogg,Willem,はー
[cd01-0307][15.45.99-15.46.62].ogg,Willem,たく……
[cd01-0308][15.58.73-15.59.67].ogg,,おしまい
[cd02-0000][00.05.72-00.06.91].ogg,Chtholly,はい、お茶
[cd02-0001][00.07.89-00.08.96].ogg,Willem,すまんな、クトリ
[cd02-0002][00.09.11-00.09.99].ogg,Chtholly,いいえ
[cd02-0003][00.12.19-00.14.79].ogg,Willem,なんかお前、虫の居所でも悪いのか？
[cd02-0004][00.15.28-00.19.57].ogg,Chtholly,別に、これっぽっちも、ちっとも機嫌なんて損ねてないですけど
[cd02-0005][00.20.16-00.21.10].ogg,Willem,ああ、そうか
[cd02-0006][00.22.15-00.25.06].ogg,Willem,で、レンはいつまで俺の膝にいるつもりだ？
[cd02-0007][00.25.54-00.27.03].ogg,Nephren,この本を読み終えるまで
[cd02-0008][00.27.30-00.29.17].ogg,Willem,いい加減、重いんだがな
[cd02-0009][00.29.62-00.31.73].ogg,Nephren,ヴィレムの膝枕だと集中できる
[cd02-0010][00.32.32-00.36.75].ogg,Nephren,それに、体への適度な荷重は安心感をヴィレムに与える
[cd02-0011][00.37.36-00.38.84].ogg,Willem,あ、そうか
[cd02-0012][00.39.07-00.43.17].ogg,Chtholly,もう！どうして君はすぐにそう何でも納得しちゃうのよ！
[cd02-0013][00.43.75-00.46.94].ogg,Willem,保護者として、お前らの意思意見を尊重しただけだろ
[cd02-0014][00.47.55-00.49.60].ogg,Willem,娘たちの言うことは絶対だからな
[cd02-0015][00.50.02-00.51.27].ogg,Ithea,うふふ
[cd02-0016][00.51.37-00.53.15].ogg,Ithea,技官は相変わらずっすね
[cd02-0017][00.53.60-00.56.13].ogg,Ithea,この場合、夫婦漫才って言うより
[cd02-0018][00.56.30-00.58.50].ogg,Ithea,親子漫才って言った方がいいっすか？
